"","TEAM","CONF","ADJOE","ADJDE","BARTHAG","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","2P_O","2P_D","3P_O","3P_D","ADJ_T","WAB","POSTSEASON","BLUEBLOOD"
"2485","North Carolina","ACC",108.8,91.6,0.8777,48.5,48.7,20.5,19.3,41.2,26.3,34.9,27.1,48.9,46.8,31.7,34.4,71.8,2.3,1,1
"2486","LSU","SEC",119.3,99.8,0.8868,52.8,48.5,16.1,18.4,31.5,32.8,33.9,29.1,53,51.3,35,30,70.4,2.4,1,0
"2487","Loyola Chicago","MVC",108.5,88.3,0.9136,56.3,46.7,18.5,21.6,26,21,30.7,22.4,58,45.5,35.7,32.5,63.9,1.7,1,0
"2488","St. Bonaventure","A10",111.1,92.9,0.8864,50.5,45.5,16.9,19.5,33.6,28.4,27.8,28.3,49.3,45.1,35.4,30.6,64.7,2.1,1,0
"2489","Missouri","SEC",111.3,95,0.8599,50.9,48.5,18.9,18.4,28.6,29.2,37.5,36.4,52.6,48.3,32,32.7,68.6,2.1,1,0
"2490","Wisconsin","B10",111.3,90.4,0.9163,49.4,47.9,13.5,17.8,23.7,25.1,26.9,28.5,46.3,47.1,36,33,65,2.2,1,0
"2491","Georgia Tech","ACC",113,94.8,0.882,53.9,52.2,15.9,22.7,24.8,29.7,29,28.9,54.8,50.7,34.9,36.7,67.7,1.9,1,0
"2492","Rutgers","B10",106.7,91.9,0.847,50.2,47.7,16.4,18.9,27.4,29.1,27.7,33.2,51.9,47.4,31.1,32.1,67.8,1.9,1,0
"2493","Virginia Tech","ACC",109.3,94.5,0.8426,52.5,48.4,17.3,17.6,28.4,24.3,33.2,30.9,51.7,47.6,35.7,33,66.5,0.9,1,0
"2494","Maryland","B10",110,93,0.8735,52.6,48.5,16.8,16.9,20.9,24.8,32.6,25.6,52.8,46.4,34.9,34.3,65.4,0.2,1,0
"2495","VCU","A10",104.6,89.7,0.854,50.9,45.8,20.6,23.5,28.3,31.3,34,35.4,51.7,45.9,32.9,30.5,70,1.3,1,0
"2496","Michigan St.","B10",105.8,93.5,0.8054,47.9,47.8,18.9,15.4,30.4,26.1,31.4,37.1,47.8,48.1,32,31.5,68.7,1.4,1,0
"2497","Wichita St.","Amer",109.6,98.1,0.7823,47.6,47.1,15.9,18.1,29.8,33.4,38.2,29.7,44.7,47.6,34.5,30.8,67.5,1.3,1,0
"2498","Syracuse","ACC",112.8,97.6,0.8402,50.7,48.5,16,20.8,30.1,33.5,28.1,25.1,50.9,49.3,33.7,31.6,69.4,0.5,1,0
"2499","UCLA","P12",112.3,97.5,0.835,52,50.7,16.6,17.6,30.4,24.4,32.6,28,50.6,49.4,36.7,35.1,64.7,1,1,1
"2500","Utah St.","MWC",105.2,90,0.8569,49.8,45.6,19.7,19.7,35.3,21.3,29.4,26.1,49.6,42.9,33.6,33,69,-1.1,1,0
"2501","Drake","MVC",111.8,101.6,0.7508,54.5,48.4,15.2,18.8,31.6,24.9,25.2,29.7,54.4,49.7,36.6,30.8,66.7,1.5,1,0
"2502","Georgetown","BE",108.5,93.2,0.8516,49.6,48,21.7,16.2,32.4,27.3,30.3,25.9,46.1,47.4,36.6,32.6,69.5,-1,1,0
"2503","Oregon St.","P12",108.5,99.6,0.7289,48.7,50.4,17.2,18.5,29.8,29.4,34,38.2,46.9,52.5,34.6,31.4,65.1,-1.6,1,0
"2504","UC Santa Barbara","BW",107.9,97.6,0.7615,53,47.7,16.5,20.8,28.2,24.5,35.5,28,53.4,46.6,34.8,33.4,65.8,-0.2,1,0
"2505","Winthrop","BSth",104.2,96.9,0.6975,53,49,19.5,22.5,35.6,22.2,35.7,33.8,53,49.2,35.3,32.4,73.8,0.9,1,0
"2506","Ohio","MAC",111.9,100.7,0.7715,55.8,51.1,17,20,28.7,27.4,29.6,30.2,56.4,51.6,36.6,33.7,69.3,-2,1,0
"2507","North Texas","CUSA",104.4,94.6,0.7578,54,45.7,20.4,21.4,27.9,26.9,27.2,31.7,52.9,44.8,37.3,31.6,63.3,-2.5,1,0
"2508","UNC Greensboro","SC",102.3,97.5,0.6353,48.2,48.1,15.6,21,32.4,25.9,23.8,36.4,50.3,48.3,30,31.9,68.3,-3.5,1,0
"2509","Liberty","ASun",109.1,101.5,0.6969,57.4,48,15.6,17.3,23.1,22.4,25.5,29.6,56.8,47.8,38.8,32.2,63.4,-1.7,1,0
"2510","Colgate","Pat",110.8,100,0.7641,57.1,45.7,13.8,16.6,27.9,25.6,31.1,25.1,55.4,49.5,40.2,26.1,71.9,0.3,1,0
"2511","Eastern Washington","BSky",107.7,101.1,0.6729,54.1,47.5,16.5,16.5,23.9,25.8,30.4,27.7,54.2,47.6,35.9,31.6,72.2,-3.6,1,0
"2512","Abilene Christian","Slnd",101.8,94.7,0.6977,52.9,45.4,19.4,26.7,30.6,27.9,34,42.5,50.8,46.3,37.7,29.1,70,-1.1,1,0
"2513","Morehead St.","OVC",99.3,96.7,0.5778,51.9,47,22.9,18,31.3,24.9,36.8,23.1,51.8,47.6,34.7,30.7,65.6,-2,1,0
"2514","Iona","MAAC",101.1,99.5,0.545,51.2,45.6,22.4,19.6,33.4,26.1,36.1,46.3,49.9,45.8,35.5,30.1,68.5,-3.2,1,0
"2515","Oral Roberts","Sum",107,107.1,0.4981,53.6,50.4,15.7,18.2,23.2,33,27.8,33.1,49.7,49,38.8,35.6,71.4,-5.1,1,0
"2516","Grand Canyon","WAC",102.7,96,0.6852,53,44.9,20.4,16.6,32.4,22.6,34.7,29.6,55.7,44.9,32.2,29.9,65.4,-3.2,1,0
"2517","Cleveland St.","Horz",99.9,100.7,0.4785,50.6,48.9,18.5,20.2,30.9,31.8,31.9,37.2,52.1,50.9,31.9,30.8,66.2,-2.7,1,0
"2518","Drexel","CAA",107.9,105,0.5768,54.3,49.6,19.6,16.4,29.4,24.3,28.5,27.2,53.5,50.4,37.2,32.1,64.4,-4.5,1,0
"2519","Mount St. Mary's","NEC",95.7,100.6,0.3593,48.7,45.5,20.1,16.3,31.7,24.6,29.7,24.6,47.7,45.6,33.7,30.1,62.2,-7.2,1,0
"2520","Hartford","AE",97.3,99.6,0.4345,50.4,47.6,19,20.4,24.8,28.6,28.6,25,51.3,50.7,32.7,28.7,66.9,-4.9,1,0
"2521","Norfolk St.","MEAC",99.4,104.1,0.3698,49.7,47.4,17.8,20.7,28.8,28.7,38.6,42,46.1,47.2,37.4,31.7,67.9,-5,1,0
"2522","Texas Southern","SWAC",97.3,103.5,0.3307,48.3,46.5,21.4,19.2,32.9,25.7,38.9,33.8,51,45.2,27.7,32.4,71.8,-4.5,1,0
"2523","Appalachian St.","SB",99,104.4,0.3512,47.7,50.4,17.5,20,27.8,30.6,33,24,46.7,50.4,32.6,33.5,65.4,-7.7,1,0
"2524","Howard","MEAC",95.8,114.2,0.118,51.1,53.5,18.5,12.6,20.4,31.2,37.1,27.1,50.4,55.9,34.6,33.9,70.8,-3.4,1,0
"2525","South Carolina St.","MEAC",86.5,112.2,0.048,44.8,55.6,23.8,22.7,26.1,33.9,27.9,35.7,43,56.4,31.9,36.1,72.7,-14.7,1,0
"2526","Idaho","BSky",91.7,112,0.092,48.5,54.3,24,17.1,22,29.7,29.6,35.8,47.4,52.6,34.1,38.1,67.2,-17.8,1,0
"2527","Maine","AE",85.2,101.7,0.1155,45.1,48.7,25,20.7,23.3,30.3,27.2,30.9,43.4,50.2,31.5,30.9,65.8,-5.7,1,0
"2528","Fordham","A10",87.5,99.8,0.1818,41.4,51.5,20.8,19.2,19.2,30.4,27.5,27.8,42.2,52.8,26.9,33.4,63.5,-8.2,1,0
"2529","Denver","Sum",93.9,112.9,0.1075,49.8,55.8,20.9,19,22,26.1,34.1,43,48.6,53.8,34.8,39.3,70.9,-16.8,1,0
"2530","Iowa St.","B12",100.4,100.8,0.4892,48,51.9,21.1,18.5,24.3,33.1,19.6,36.2,48,53.1,32.1,33,69.8,-10.4,1,0
"2531","Mississippi Valley St.","SWAC",80,120.8,0.0087,43.6,55,24.2,14.9,18.1,35.8,24.7,32.6,38.3,55.7,32.9,35.8,72.3,-17.5,1,0
"2532","San Diego","WCC",97.7,99.6,0.4442,46.4,53.3,18.1,18.2,20.9,25.6,25.6,33.8,46.8,51.2,30.4,38.5,70.2,-6.2,1,0
"2533","Northern Illinois","MAC",94.7,110.5,0.1442,44.4,54.7,20.2,16.8,32.6,31.3,23.9,33.8,42.8,52,32.4,39,65.8,-11.7,1,0
"2534","Delaware St.","MEAC",91.1,115.5,0.0614,45.7,54.7,22.3,18.7,26.3,32.3,29.8,45.5,45,55.6,31.1,35.5,73.4,-13.7,1,0
"2535","Charleston Southern","BSth",92.1,107.5,0.1441,46.5,50.7,23.6,17.6,27.4,31.3,30.1,34.4,46.4,50.3,31.1,34.3,69.8,-15.5,1,0
"2536","American","Pat",97.9,105.3,0.3021,52.6,50.2,22.3,17.6,24.1,29.9,26.8,38.4,49.5,52.9,37.8,29.1,67,-4.5,1,0
"2537","Lehigh","Pat",92.8,106.5,0.1696,47.1,53.2,18.2,16.9,24.9,23.8,27.9,32.8,47,52.3,31.6,36.6,69.7,-9.5,1,0
"2538","Binghamton","AE",97.1,110.5,0.1848,48.9,51.5,20.6,16.4,29.2,27.7,23.2,31.3,48.3,49.5,33.1,36.7,66.3,-12.2,1,0
"2539","Towson","CAA",99.1,111.3,0.207,45.4,52.6,18.4,16,34.1,30.4,33.4,29.3,46.2,49.3,28.9,38.3,65.9,-10.8,1,0
"2540","Alabama St.","SWAC",86.1,111.8,0.047,43.5,48.9,22.3,20.6,29.5,29.6,42.7,36.9,41.3,49,31.7,32.5,70.1,-13.2,1,0
"2541","Robert Morris","Horz",98.1,110.7,0.1992,50.5,54.6,19,18.7,29.5,33.5,26.1,34.6,48.3,52.4,36.5,38.9,67,-12.3,1,0
"2542","Boston College","ACC",103.3,102.3,0.5269,49.8,55.5,19,18.7,25.4,28.8,29.7,29.1,49.9,56.7,33.1,35.5,71.4,-7.6,1,0
"2543","Tennessee St.","OVC",91.2,105.7,0.1551,47,50.9,20.9,22.1,24.8,30.6,32.7,44.5,49.1,50.9,28.8,34,71,-16.3,1,0
"2544","Cal Poly","BW",90.3,105.1,0.1495,44.5,50.6,20.3,18.2,22,29.9,29.5,36.5,42.9,49.1,31.5,35.7,66.9,-15.8,1,0
"2545","Arkansas Pine Bluff","SWAC",90.4,114.7,0.0603,43.2,54.1,22.5,18.4,27.2,32.2,38.6,38.3,41.9,51.2,30.8,40,67.9,-16,1,0
"2546","Bucknell","Pat",99.9,108.2,0.2849,52,49.6,17.3,15.7,19.8,28.3,36.3,29.2,53.6,47.5,33,36,71.8,-5.6,1,0
"2547","North Carolina Central","MEAC",91.8,112.2,0.0901,46.9,51,21.4,20.8,26.4,33.6,34.5,38.3,45.3,50.9,33.1,34.2,66,-6.9,1,0
"2548","Temple","Amer",101.9,98.3,0.6029,46.7,47.3,19.5,16,25.9,28.1,38.9,31.7,43.8,44.8,34.2,34.3,68.3,-6.1,1,0
"2549","Holy Cross","Pat",99.4,107.9,0.2803,50.3,52.6,18.3,18.5,26.4,31.5,26.1,35.2,48.8,52.1,35.6,35.7,69,-8.4,1,0
"2550","George Washington","A10",101,105.5,0.3755,49.7,51.1,19.7,16.7,24.4,28.6,36.1,25,50.4,50.8,32.3,34.3,68.6,-8.7,1,0
"2551","DePaul","BE",98.9,94.3,0.6346,46.1,48,22.1,20.1,31.8,31.6,23.7,35.3,45.7,49.1,31.5,30.9,70.2,-5.8,1,0
"2552","Saint Joseph's","A10",101,104,0.4172,48.6,53.6,18.6,17.2,21.8,30.9,26.7,31.4,50.1,54.1,31.4,35.1,72.5,-7.7,1,0
"2553","Western Michigan","MAC",95.6,102.9,0.2999,49.3,50.2,21.1,14.3,23.5,29.4,24.2,26.2,49,51.5,33.2,32,66.4,-11.5,1,0
"2554","San Jose St.","MWC",96.9,110.1,0.1874,44.7,52.6,17.8,14.5,20,35.1,30,27.6,42.9,55.3,31.6,32.2,72.3,-10.3,1,0
"2555","Central Connecticut","NEC",92.8,110.3,0.1213,48.5,53.9,19.7,20.1,23.7,32.9,28.4,30.4,48.5,54.6,32.4,35.2,70.8,-13.5,1,0
"2556","USC Upstate","BSth",94.6,109.4,0.1584,49,53.7,20.8,18.7,24,29.6,29.8,35.2,47.7,54.6,33.9,34.7,68.7,-14.7,1,0
"2557","Middle Tennessee","CUSA",93.4,103.6,0.2323,45.3,53,21.6,19.8,24.7,26.1,24.8,28.8,43.1,55.6,32.5,32,69.5,-13.7,1,0
"2558","Kennesaw St.","ASun",90.3,104.2,0.1614,45.8,52.2,20.6,17.1,24.1,25.2,30.6,32.7,46.7,54.4,29.4,31.8,69.3,-15.4,1,0
"2559","Central Arkansas","Slnd",97.3,113.7,0.1421,49.3,53.9,23.9,15.4,28.9,28.5,32.4,28.8,46.8,51.7,36,38.2,71.4,-13.3,1,0
"2560","Texas A&M Corpus Chris","Slnd",90.2,108.5,0.1067,46.9,51.7,23.8,19.3,24.6,29.3,34.8,31.2,45.1,51.7,33.3,34.4,69.5,-15.9,1,0
"2561","Air Force","MWC",96.1,109.1,0.1891,52.1,57.4,22.6,21.8,15.3,35.4,30.9,32.8,54.1,59.1,33,36.6,63.1,-13.5,1,0
"2562","Nebraska Omaha","Sum",93.1,107,0.1683,46.3,53.5,18.1,16.8,23.2,26.7,29.2,31.1,44.8,51.2,33.5,38.4,71.3,-14.7,1,0
"2563","Washington","P12",101.4,102.5,0.4696,48.9,51.2,19.2,17.2,23.4,34.4,26.2,34.7,48.3,50.6,33.2,34.9,71,-10.4,1,0
"2564","Tennessee Tech","OVC",95.8,109.5,0.1776,50.1,54.8,22.6,18.1,26.5,27.8,27,26.7,51.6,56,32.1,35.3,69.2,-16.8,1,0
"2565","Alabama A&M","SWAC",85.4,104.7,0.0878,44.8,44,21.4,18,28.2,29.4,31.8,37.4,45.5,44.8,28.8,28.3,67.4,-8.2,1,0
"2566","Cal St. Fullerton","BW",102.6,111.6,0.2758,51.2,54.9,17.6,18.6,24.9,29.1,35.6,27.8,48.1,52.5,38,39.7,71.7,-7.8,1,0
"2567","Loyola MD","Pat",97.7,100.9,0.4088,51.1,49.3,20.2,19.3,31.3,25.6,35.4,33.4,53.4,47.7,30.6,34.7,67.8,-8.7,1,0
"2568","Long Beach St.","BW",97.4,104,0.3198,50.6,49.4,21,17.8,23.3,31.3,37.7,34.9,49,48.2,35.9,34.2,73.9,-9.3,1,0
"2569","Eastern Michigan","MAC",98.6,108.5,0.2493,46.7,58.7,17.1,19.1,24.2,31.6,26.9,28.2,47.2,58.5,30.6,39.2,68.1,-8.3,1,0
"2570","Samford","SC",96.4,103.4,0.3076,47.9,52.8,21.1,18.4,28.9,25,27.1,37.9,51.3,53.1,28.3,35,73.2,-9.8,1,0
"2571","Alcorn St.","SWAC",91.1,109.5,0.1083,44.4,55.4,20.2,21.9,29.3,30.5,34,50.1,44,57.7,30.1,34.6,69.6,-9.5,1,0
"2572","South Carolina","SEC",103.4,99.6,0.6075,46.7,53.2,19.8,22,32.2,31.3,27.9,39,47.2,52,30.5,36.8,74.5,-5.5,1,0
"2573","Portland","WCC",97.6,112.2,0.1678,46.3,58.9,19,17.9,17.8,30.8,33.9,23.3,43.6,60.6,33.8,37.6,71.3,-9.4,1,0
"2574","Wake Forest","ACC",102,100.7,0.5386,49,54.5,20,17.9,26.2,25.9,28.5,32.1,45.9,52.8,35.1,38.3,66.8,-7.1,1,0
"2575","Northern Arizona","BSky",96.7,112.6,0.1468,48,58.2,17.9,18.4,23.8,27.9,30.4,33.2,45.8,60.4,35,37,64.2,-11.7,1,0
"2576","New Mexico","MWC",93.3,102.7,0.2493,43.9,53.1,21.7,19.8,31.3,30.6,32.9,35.7,45.5,53.6,26.8,34.9,67.4,-11.2,1,0
"2577","St. Francis PA","NEC",94.7,107.2,0.1941,47.9,51.5,20.2,18.6,28.8,28.6,33.7,29.4,48.6,54.3,30.9,31.3,68.9,-13,1,0
"2578","Rider","MAAC",99.8,111.9,0.2112,48.3,53.3,18.3,17.2,26.2,26.7,29,36,46.2,53.6,35.3,35.3,67.9,-14.1,1,0
"2579","Houston Baptist","Slnd",91.2,111.9,0.0872,48.7,54.1,22.6,18.6,25.7,31.2,28.1,28.2,47.9,55.7,33.3,34.3,72.7,-15,1,0
"2580","Canisius","MAAC",98.5,106.8,0.2835,47,50.5,16.8,20.2,26.6,26.8,31.6,31.6,48.8,50.3,29.7,34.1,70.8,-4.8,1,0
"2581","Delaware","CAA",98,100.8,0.4194,49.5,48.1,21,17.2,27.9,26.2,38.8,32.4,51,46.7,31.4,34,66.9,-6.6,1,0
"2582","Albany","AE",98.6,103.2,0.3708,50.5,51.3,18,20.9,22.3,27.3,34.1,29.3,50.5,51.1,33.7,34.5,69.5,-7.4,1,0
"2583","UC San Diego","BW",100.7,109.2,0.2837,55,54.5,19.6,18.4,16.7,31.7,20.8,22.4,54.6,53.3,37,38,69.2,-6.9,1,0
"2584","UNC Wilmington","CAA",101.6,109.8,0.2909,48.6,51.6,16.1,18.9,26.5,31.5,37.1,31.7,47.2,53.9,34,30.9,69.9,-8,1,0
"2585","William & Mary","CAA",94.8,105.7,0.2224,46.1,51,20.2,16.9,28.6,31.8,32,23.6,47.9,52.1,28.7,32.6,68.2,-7,1,0
"2586","Boston University","Pat",101.4,107.9,0.3279,49.7,53.7,18.3,15.2,29.2,25.9,28.7,29.9,50.9,53.4,31.9,36.2,65.4,-7.8,1,0
"2587","NJIT","AE",94.1,107.2,0.1823,45.9,52.3,16.2,20.9,24.1,29.2,34.2,29.4,46,53.8,30.5,33.2,68,-9.8,1,0
"2588","Manhattan","MAAC",91.7,102.4,0.2181,42.6,47.9,20.7,22.3,31.9,29.5,35.5,46.8,44.4,47.1,26.4,33,67.1,-11.2,1,0
"2589","Presbyterian","BSth",91.2,106.6,0.143,46.7,52.9,23.1,22.2,32.6,28.3,35.2,41.7,47.3,53.3,30.3,34.9,65.6,-13.1,1,0
"2590","Western Illinois","Sum",97,109,0.2066,45.8,54.4,17.3,16.1,27.9,23.1,36.5,38.8,44.6,51.8,31.8,39.5,71.8,-11.6,1,0
"2591","Central Michigan","MAC",99.1,110.5,0.2226,48.7,54,17.9,18.2,26.6,32.2,36.2,27.5,48.8,53.6,32.2,36.4,72.3,-12.4,1,0
"2592","Illinois St.","MVC",97.8,103.1,0.3528,50.4,51.6,19.3,16.7,23.7,26.3,23.7,26.7,50,54.7,34,31.5,69.3,-12.1,1,0
"2593","Louisiana Monroe","SB",93.6,104.3,0.223,48.2,50.4,19.1,21.2,22.7,31.9,25.1,34,46.5,47.9,34,36.5,67.3,-16.1,1,0
"2594","Nebraska","B10",101.5,93.3,0.7241,48.2,49.8,19.7,18.1,23.1,28.9,31,28.4,47.1,52.1,33.2,31.3,72.1,-6.9,1,0
"2595","Massachusetts","A10",105.4,97.8,0.7037,50,50.9,16.3,19.9,24.3,25.6,34.2,33.4,50.9,51,32.6,33.8,71.7,-3.5,1,0
"2596","IUPUI","Horz",96.6,106.1,0.2535,49,52.7,19.1,18.9,25.2,25.2,30.5,35.1,47.3,56.5,34.4,30.5,72,-8,1,0
"2597","Texas A&M","SEC",102.1,98.7,0.5943,47.7,53.1,22.4,22.7,32.8,30.1,33.7,29.6,49.5,55,30,34.1,65,-4.1,1,0
"2598","East Carolina","Amer",98.4,98.8,0.4882,45.2,48.9,18.5,20.6,26.9,27.7,33.1,38.3,45.5,49.7,29.8,31.9,68.3,-6.2,1,0
"2599","Southern","SWAC",91.3,104.2,0.1807,48,47.2,22,20.7,29.8,26.7,40.5,40.8,47.8,46.2,32.3,33,70.7,-8.5,1,0
"2600","Sacramento St.","BSky",101.9,111.3,0.2647,50.6,55.6,14.9,18.8,24.5,28,31.5,32,48,56,37.7,36.6,65,-9.2,1,0
"2601","Florida A&M","MEAC",89.1,101.5,0.1826,48.6,47.9,23.8,21.4,30.2,31.8,29.8,33.9,49.2,50.8,31.4,28.5,68.3,-8.8,1,0
"2602","Dixie St.","WAC",91.6,106,0.157,45.5,52,20.9,19.7,24.7,32.6,35.4,36.5,45.9,53.9,29.7,32.5,72.9,-10.1,1,0
"2603","Incarnate Word","Slnd",94.9,111.5,0.1348,50.3,52.1,20.6,18.5,23,32.2,32.5,33.8,45.8,55.1,38.2,30.7,64.9,-11.6,1,0
"2604","North Florida","ASun",100.5,113.2,0.2041,52.7,50.3,21.5,16.2,25.8,35.9,25.4,31.8,51.2,50.1,36.2,33.9,67.2,-11.3,1,0
"2605","Fort Wayne","Horz",100.3,110.5,0.2465,58.2,52.5,23.7,17,26.2,30.8,30.2,30.4,57,53.9,40,33.6,69.7,-12.7,1,0
"2606","Tennessee Martin","OVC",93.2,112.5,0.1035,45.6,57.3,21,20.6,28.7,32.9,28.3,36.5,43.3,58.2,33.2,37.4,67.6,-12.7,1,0
"2607","Southern Miss","CUSA",92.2,101.4,0.2513,47.3,50.3,20.6,18.7,23.8,23.2,28.7,29.5,47.3,50.1,31.5,33.7,67.4,-12.9,1,0
"2608","Green Bay","Horz",102.2,109.2,0.3185,49.2,53.5,15.5,16.9,26,29.4,27.3,31.9,48.8,53.2,33.3,36.2,66.5,-12.6,1,0
"2609","Southeastern Louisiana","Slnd",91.3,111.6,0.0904,45.4,55.3,21.8,22,30.8,29.8,41,37.9,46.5,56.3,29.2,35.9,69.1,-14.4,1,0
"2610","Lafayette","Pat",103.5,110.9,0.3116,50.6,50.9,15,16,23.7,28.5,30.3,33.7,48.4,51.4,36,33.2,68.9,-4.8,1,0
"2611","Duquesne","A10",102.1,96.3,0.6631,47.6,47.3,19.5,19.6,31,30.1,31.6,35.5,49.3,50.3,29.9,28.4,68.9,-4.1,1,0
"2612","LIU Brooklyn","NEC",95.3,102.8,0.2959,47.3,49.9,19.3,20.9,32.9,28.5,31.2,28.4,50.1,50.9,28.7,32,73.5,-7.5,1,0
"2613","Merrimack","NEC",92.8,101.3,0.2665,51.4,48,19.9,21.8,20.8,31.6,31,33,54.1,46.1,31.7,34.4,66.2,-7.6,1,0
"2614","Sacred Heart","NEC",99.9,112,0.213,48,50.7,18.7,15.3,29.6,31.8,33.6,27.6,47.1,51.3,32.9,32.9,66.5,-7,1,0
"2615","Pacific","WCC",102.5,98,0.6266,47.9,51.6,16.5,18.2,27.5,23.6,26.9,33.2,49.1,50.8,29.8,35.1,66.6,-3.1,1,0
"2616","College of Charleston","CAA",102.4,107.9,0.3537,51.6,52,16.3,17.7,24.2,26,27.1,33.5,47.8,50.1,38.2,36.6,64,-7.4,1,0
"2617","St. Francis NY","NEC",101.1,113.2,0.2145,49.5,52.7,16.3,19.9,30.2,30.3,30.7,39.1,49.4,50.4,33.1,38.1,72.5,-8.7,1,0
"2618","UT Rio Grande Valley","WAC",90.4,101.5,0.2095,43,48.1,19,24.1,30,34.1,37.7,43.5,44.7,48.5,26.7,31.6,70.5,-7.8,1,0
"2619","Niagara","MAAC",98.8,106.6,0.2936,46.6,49.5,15.2,20.1,23.3,28.4,34.6,32.5,46.4,48.5,31.3,33.9,65,-8.8,1,0
"2620","South Florida","Amer",100.4,101.6,0.466,45.1,51.7,20.8,17.8,33.8,26.5,34.5,33.5,43.3,51.5,32.4,34.6,67.2,-6,1,0
"2621","Portland St.","BSky",92.4,99.9,0.2885,44.4,50.8,20,22.7,30.5,23.6,34.6,46.7,44.8,49.1,29.2,36.1,69.3,-10.9,1,0
"2622","Cal St. Northridge","BW",99.8,111.7,0.2146,48.4,54.3,16.7,18.7,24.3,28.9,31.7,32.4,47.2,54.2,33.5,36.4,70.5,-9.9,1,0
"2623","Illinois Chicago","Horz",92.7,104.7,0.1993,49.7,48,18.9,14.2,23.7,27.6,22.8,33.8,50.2,49.1,32.7,30.1,68.6,-10.3,1,0
"2624","Quinnipiac","MAAC",91.9,99.6,0.285,46.9,44.2,19.4,17.2,21.2,27.8,35.4,32.7,45.7,43.7,32.4,30.1,71.7,-11.2,1,0
"2625","Coppin St.","MEAC",91.9,100.5,0.2623,48.6,47.9,20,20.4,18.5,32.5,43.8,27,51.6,49.1,30.3,30.8,77.1,-9.2,1,0
"2626","Stony Brook","AE",94.3,100.7,0.3178,46,48.3,20.1,18.8,30.3,27.1,33,29.6,47.3,46.6,29.2,33.9,66.9,-11.2,1,0
"2627","Northwestern","B10",103.8,94.1,0.7576,50.3,50.2,17.2,17.9,19.9,25.8,26.8,33.7,49.1,50.5,34.6,33.2,68.6,-2.9,1,0
"2628","High Point","BSth",96.3,106.4,0.2417,45.8,52.4,18.6,20.1,32,28.2,38.3,34.1,46.7,51.7,29,35.4,66.4,-11.9,1,0
"2629","Fairleigh Dickinson","NEC",101.6,110.9,0.2684,51.9,53,19.5,19.3,28.7,33.2,31.1,33.9,49.4,54.8,37.5,33.5,71,-12,1,0
"2630","Kentucky","SEC",108.5,93.3,0.8504,47.1,46.7,19.8,17.9,32.6,30.5,34.5,29.7,45.5,46.6,33.7,31.2,68.3,-3.9,1,1
"2631","La Salle","A10",101.9,105.3,0.4058,50.1,52.1,20.7,19.4,26.9,29.1,24.3,36.1,49.9,53.8,33.6,32.9,68.8,-8.7,1,0
"2632","Charlotte","CUSA",95.9,103.7,0.2893,49.2,50.9,20.1,18.4,21.6,24.7,37.2,23.4,49.3,52.9,32.7,31.8,62.9,-11.6,1,0
"2633","Evansville","MVC",105.1,110,0.3732,53.2,57.4,17.2,18.3,19.1,24.1,25.4,34.3,50,55.7,37.7,41,62.3,-10.4,1,0
"2634","Vanderbilt","SEC",108.6,100.1,0.7185,51.2,52.1,19.8,19.8,28.1,28.5,32.9,33.7,50.2,52.9,34.9,33.8,68.5,-5.8,1,0
"2635","FIU","CUSA",96.5,107.9,0.2165,50.5,53.9,20.9,21.5,25.8,33.6,24,34.7,51.9,53.2,32.7,36.9,70.6,-13.7,1,0
"2636","SIU Edwardsville","OVC",93,107.5,0.1602,49.2,52.6,22.8,19.6,26.7,31.8,33.2,33.7,50.5,53.4,31.2,34.2,68.4,-13,1,0
"2637","North Dakota","Sum",97.1,108.7,0.2146,49.4,53.2,18.7,16.9,23.5,26.6,34.6,30.4,48.7,51.1,33.7,38.4,67.5,-13,1,0
"2638","Eastern Illinois","OVC",94.8,108.5,0.1754,49.3,51.9,20,18.7,28.8,29.6,25.7,31,49.7,50.3,32.4,36.3,69.1,-13.8,1,0
"2639","Kansas St.","B12",97.8,97.1,0.521,47.2,53,22.3,19.7,29.9,27.9,27.9,32.2,48.7,52,30,36.3,65.8,-8.2,1,0
"2640","California","P12",102.7,100.9,0.5498,49.4,53,19.3,17.6,24.3,25.1,34,34,49.5,51.1,32.9,37.9,65.1,-9.7,1,0
"2641","Vermont","AE",105.3,102.6,0.5753,53.3,47,18.1,19,26.6,23.2,33,33.5,54.4,47.1,34.4,31.2,66.4,-3.8,1,0
"2642","Florida Gulf Coast","ASun",92.1,104.1,0.1978,47.7,48.7,20.3,18.8,28.6,29.6,24,26.7,51,49.5,28.9,31.5,71,-6.6,1,0
"2643","UC Davis","BW",96.5,102.6,0.3322,48.2,53,20.4,23.4,26.9,27.6,36.4,40.6,48.3,52.6,31.9,35.8,69.5,-5.9,1,0
"2644","New Hampshire","AE",95.8,106.7,0.2246,45.3,49.5,16.3,17.9,27.3,22,32.8,39.2,44,48.6,31.8,34.1,66.4,-7.6,1,0
"2645","Northeastern","CAA",98.1,98.1,0.4999,51.6,48.3,19.5,17.2,20.2,26.3,26,29.3,50.4,48.3,35.4,32.3,67.3,-4.4,1,0
"2646","Elon","CAA",97.3,100,0.4223,48.3,49.6,17.5,17.9,24.6,22.7,23.2,39.5,47.3,50.4,33.1,32.4,66.2,-6.4,1,0
