"","G","W","ADJOE","ADJDE","BARTHAG","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","2P_O","2P_D","3P_O","3P_D","ADJ_T","WAB","POSTSEASON","YEAR"
"3809",31,16,97.7,106.6,0.2669,46.9,48.2,18.3,18,30.2,30.8,31.5,40.4,47.1,47.9,31.1,32.4,67.5,-10.6,1,2024
"3869",30,10,90.6,108.9,0.1069,47.1,50.3,18.9,16.6,27,25.5,25.4,31.6,46.5,50.6,31.8,33.2,63,-19.5,1,2024
"1351",28,8,92.8,113.9,0.0867,44.7,50.5,21.9,18.3,35.2,36.4,41.6,41.3,45.4,50.7,29.1,33.3,63.5,-15.9,0,2015
"2116",35,34,116.4,93,0.9295,52.4,44.7,16.2,18.2,35,26.2,46.9,35.7,52.3,43.6,35,31.1,65.1,8.1,1,2014
"72",38,28,114.9,99.1,0.8454,50.8,48.7,16.5,17.5,34.4,27.9,39.1,27,48.4,48.2,37.1,33,67.2,-0.8,0,2016
"2910",34,25,108.3,98.5,0.7488,51.6,47.9,17.9,19.5,35.7,26.5,33.9,31.9,50.4,48.4,35.7,31.5,64.7,-1.7,1,2022
"1235",36,22,110.3,100.3,0.7494,48.8,49.8,19.3,18.8,33.9,30,42.8,35.6,46.8,46.7,34.7,36.3,72.7,-1.3,0,2017
"2621",18,9,92.4,99.9,0.2885,44.4,50.8,20,22.7,30.5,23.6,34.6,46.7,44.8,49.1,29.2,36.1,69.3,-10.9,1,2021
"431",27,14,98.5,106.5,0.2907,49.3,50.1,19.1,20.4,30.9,28.9,34.1,40.1,47.6,48.8,35.9,34.8,66.8,-12.4,0,2018
"1924",29,5,93.3,116.5,0.0719,48.9,53.8,20.8,16.4,22.7,35.3,26.4,34.7,47.4,51.1,34.5,39.4,62.3,-18.9,0,2013
"1845",33,18,103.1,97,0.6682,48.8,47.5,21,21.9,34.9,33.5,32.9,35.7,47.1,46,35.6,33.5,61.2,-5.1,0,2013
"3329",31,13,102.8,111.8,0.2762,51,53.5,16.7,15.5,25.7,27.4,27.3,28,50.6,53,34.4,36.4,66.9,-14.6,1,2023
"595",28,17,104.7,101.6,0.5851,49.5,49.5,16.4,18.1,26.1,28.4,26.2,35.6,48,50,34.3,32.5,73.3,-8.8,0,2019
"830",29,14,93,104.8,0.2017,48.3,47.8,21.5,19.7,33.5,31.5,37.1,36.6,48.3,48.7,32.4,30.9,73.3,-13.2,0,2019
"2567",17,6,97.7,100.9,0.4088,51.1,49.3,20.2,19.3,31.3,25.6,35.4,33.4,53.4,47.7,30.6,34.7,67.8,-8.7,1,2021
"3941",35,17,116.6,101.5,0.8311,54.8,51.9,17.7,17.7,27.9,30.2,35.5,34.6,54.8,53.4,36.5,33,68.6,-3.2,1,2025
"170",29,20,100.6,102.3,0.4538,50.2,49.9,18.3,14.6,27.2,21.7,34.1,29.3,49.5,50.1,34.2,32.9,66.9,-6.3,0,2017
"3079",29,14,99.7,109.1,0.263,51.1,51.6,17.2,16.8,25,27.2,22.9,34.2,53.3,50,32.4,37.4,68.9,-11.7,1,2022
"1721",29,11,106.7,105.9,0.5216,49,51.9,20,17.2,38.1,33.1,38.2,36.6,49.1,51,32.6,36,67.9,-7.7,0,2014
"3838",29,12,103,116.4,0.1978,51.9,53.1,18.3,11.7,27.5,28.6,30.5,27.3,49.6,52.3,37.6,36.2,68.8,-16.4,1,2024
"3081",28,8,95.3,104.3,0.2604,46.2,54.9,17.4,18.7,22.6,22.6,32.3,28.1,45.8,52.1,31.4,39.2,68,-15.5,1,2022
"3141",31,5,90.2,106.3,0.1304,46,53.6,23.1,17.9,27.1,27.7,30.3,27.2,45.5,55.7,31.1,33.7,68.9,-20.4,1,2022
"1561",33,17,101.2,107.6,0.3317,54.2,51.3,21.7,20.4,24,32,38.9,41.3,52.4,51.2,37.6,34.3,63.8,-10.8,0,2014
"1698",31,10,95.8,110.7,0.1598,47.6,52.4,17,17.5,26,32.2,32.7,30.1,47.3,50.8,32,37.5,63,-15.8,0,2014
"3468",30,20,103.7,103.1,0.5167,50.2,51.2,17.8,21.5,32.1,26.9,33.6,33.5,49.5,50.5,34.3,34.7,65.9,-7.8,1,2023
"1103",31,20,97.6,102.8,0.3551,49.6,53.2,21.3,21.3,31.7,22.2,36.2,34,50.2,51.8,32.3,36.8,66.8,-8.1,0,2018
"775",28,15,101.4,101.5,0.4973,48.5,50.8,20.8,20.1,34.3,34.9,33.9,32,50.5,50.4,29.9,34.2,64.4,-8.1,0,2019
"2526",22,1,91.7,112,0.092,48.5,54.3,24,17.1,22,29.7,29.6,35.8,47.4,52.6,34.1,38.1,67.2,-17.8,1,2021
"658",28,8,98.9,107.4,0.2791,52.1,51.9,20.1,15.5,22,27.2,29.5,31.8,53.6,51.1,33.3,35.6,71.4,-14.6,0,2017
"682",30,8,98.5,109.7,0.2254,45.6,53.7,20.6,18.1,32,29.5,41.2,36.3,42.3,52.1,35.1,37.9,65.2,-15.9,0,2015
"3277",32,10,103.2,102.5,0.5206,47.4,51.8,18,18.7,28.1,30.5,33,32.8,47.8,51.4,31.1,34.9,69.3,-10.5,1,2023
"2377",34,21,107.4,99.5,0.7067,51.9,50.7,14.3,21.2,21.8,29.4,29.5,39.7,50.7,50.3,35.8,34.2,72.3,-1.2,1,2019
"3763",31,11,106.3,112.5,0.3426,48.3,51.9,15.5,13.1,32,28.9,35,34.6,46.9,49.8,33.4,37,70.5,-14.6,1,2024
"1096",29,13,99,108.2,0.2638,52.3,52.4,18.8,19.7,27.1,27.6,24.5,38.1,48.8,51.1,38.1,36.2,71.5,-13.5,0,2018
"1379",31,8,94.3,115.9,0.0858,46.5,51.9,19.9,18.3,31.9,34.7,35.2,46.6,45.2,49.4,32.8,37.7,70.2,-18.2,0,2018
"4019",35,25,111.9,109,0.5737,56,52.5,16.1,15.5,22.5,29,35.6,32,56.9,53.7,36.3,33.6,67.3,-3,1,2025
"1578",33,22,109.7,107.5,0.5582,55.3,52.1,18.7,17.8,32.1,27.5,41.7,32.2,54,52,38.4,34.8,67.5,-4.3,0,2014
"1376",31,13,96.9,111.2,0.1705,48.6,52.9,18.8,21.7,24.7,35,35.4,49.5,46.4,52.2,34.9,36.2,69.7,-13.9,0,2017
"4130",33,17,103.2,109.6,0.3347,50.6,50.1,19,18.4,33,33,26.5,43.1,49.8,51.2,34.5,32.3,69.8,-11.2,1,2025
"2023",30,12,94.2,106.4,0.1987,46.1,50.3,21.5,20.2,33,32,36.3,39.5,45.4,49.6,32,34.5,69.4,-12.9,0,2013
"1825",31,17,111.8,99.4,0.7951,53,49.2,21.7,21,35.2,30.4,39.7,37.5,51.1,47.4,38.4,35.3,66.4,-4.6,0,2013
"2464",27,18,115.9,95.3,0.9046,48.7,50.2,17,20.7,35.6,31.3,39.4,28.5,46.4,51.3,35.7,32.3,69.6,3,1,2021
"669",30,16,102.5,105.2,0.4244,52.7,52.4,18.8,17.7,25.4,26.7,31,33.8,55.3,53.4,32.8,33.7,70.2,-8.3,0,2018
"244",30,8,103,113.7,0.2436,51.2,54.5,16.8,15.7,25.2,32.9,33.8,30.8,49.4,54.7,36.2,35.9,71.4,-16.6,0,2016
"4076",32,25,99.3,101.7,0.4301,52.2,47.7,17.2,18.1,26.5,25.3,25.9,18.9,53.7,49,32.9,30.6,65.8,-4.6,1,2025
"3728",33,17,98.9,101.7,0.42,47.1,49.7,19.9,18.6,31.2,29.4,37.8,38.3,47.1,50.6,31.4,32.1,66.3,-10.3,1,2024
"1436",30,20,110,97.7,0.7965,52.4,48,18.8,15.4,33.2,24.7,34.1,33.2,50.6,47.2,37.1,33.1,63.2,-0.8,0,2015
"3696",29,17,106,106,0.5009,51.9,49.5,18.7,18.2,30.4,32.9,50,34.3,52.8,50.6,33.7,32,66.9,-9.4,1,2024
"1538",29,16,104.1,106.4,0.4369,52.3,49,17.6,16.8,26.9,31.8,35.8,40.6,50.9,48.6,36.3,33.3,66.4,-7.7,0,2014
"1717",29,7,101.9,115.6,0.1899,49.9,55.8,17.3,18.3,23.9,35.6,37.2,38.8,48.3,54.4,34.9,39.2,67,-16.4,0,2014
"1152",31,15,99.7,104.2,0.3765,48.8,51.7,20.9,19.4,31.9,27.7,36.3,30,48.4,53.1,33.1,33,64,-12.9,0,2018
"2826",30,25,111.9,98.1,0.819,54.8,50.1,15.2,18.5,21.9,25,29.6,25.6,55.7,51,35.6,32.7,65.6,4.3,1,2022
"2250",33,23,102.1,98.2,0.6121,52.2,47,18.8,17.9,22,27,40.4,27,54.4,44,32.6,34.9,59.2,-1.6,1,2015
"727",34,20,103.4,97.1,0.6727,49.4,45.5,18.8,18.8,33.3,31.5,31.3,41,46.7,43.8,34.9,33,64.1,-6.9,0,2015
"3211",33,28,112.7,104.8,0.6984,55,50.7,15.7,18.2,28.9,27.3,34.8,31.9,58.3,51.5,34.1,32.7,68.2,-2,1,2023
"1188",30,12,104.2,115.6,0.2331,49.3,57.9,17.2,19.7,28,35.4,32.8,40.9,47.8,57.7,33.9,38.9,81.7,-14.5,0,2017
"2392",33,20,121.2,99.2,0.9089,51.1,47.4,15.9,18.8,37.6,29,45.3,35.4,50.6,47.3,35,31.7,70.9,1.2,1,2014
"176",32,19,101.8,107,0.3602,52.7,51.1,18.1,18.1,24.9,28.5,31.2,33.4,53.6,50.8,34.4,34.4,67.7,-9,0,2018
"580",31,20,108,102.5,0.6448,54.7,50.6,19,17.6,30.9,25,28.3,26.8,55.9,49.1,34.8,35,68.8,-6.1,0,2018
"1000",29,12,98.2,106.4,0.2844,49.4,51.4,19.8,19.2,25.2,32.9,37.4,40.5,50.1,49.8,32.3,36.2,69.1,-13.3,0,2017
"2046",34,23,111.8,86.9,0.9477,52.4,46.1,15.6,20.7,28.3,24.5,26,33.8,49.7,45.1,38.5,31.7,60.3,5,1,2017
"447",27,11,101.5,100,0.5427,44.1,49.3,14.8,17.3,31.9,28.2,31.5,31.3,42.5,47.3,31.6,35.6,59.2,-9,0,2015
"2536",10,4,97.9,105.3,0.3021,52.6,50.2,22.3,17.6,24.1,29.9,26.8,38.4,49.5,52.9,37.8,29.1,67,-4.5,1,2021
"3648",27,22,111.4,105.2,0.6573,56.5,51.3,17.2,18.5,27.2,31,28.8,32.6,61.7,52.4,33.9,33.2,71.5,-1.5,1,2024
"3220",34,26,112.5,106.1,0.6607,58.2,52.2,15,17.6,25,24.5,27.3,20.2,56.9,51.5,40.5,35.6,67.5,-3.7,1,2023
"1286",30,16,96.3,103.1,0.3141,50.2,49,22.8,21.6,35,30.8,37,39.6,48.3,47.6,36.1,34.5,68.8,-11.9,0,2017
"798",30,10,92.2,108.8,0.1289,43.6,49.2,20.3,18.9,32.6,35.8,48.5,36.6,43.4,48.6,29.5,33.5,71.5,-16.1,0,2016
"1089",31,10,97.2,107.5,0.2401,51.4,52.5,22,17.3,24.8,25.3,33.4,38.6,49.4,50,36.1,37.6,66.5,-16.3,0,2017
"1622",32,21,109.1,105.3,0.6017,53.7,49.4,18,17,31.7,31.3,45.9,35,52.2,49.8,37.6,32.2,67.5,-5.9,0,2014
"2054",33,24,112.7,93.3,0.898,52.9,45.4,17.6,18,29.5,29.6,45.3,29.2,52,44.5,36.5,31.3,66.4,2,1,2019
"2733",21,13,101.4,98,0.5956,48.7,50.3,17.6,19.3,30.3,22.9,29.3,28.6,48.5,48.4,32.7,35.7,68.2,-3.9,1,2021
"1037",32,15,108.3,100,0.7131,48.1,52,17.1,18.3,31.5,27.8,37.8,38.1,46.6,51.4,33.6,35.4,68.9,-4.2,0,2016
"3289",27,11,101.3,113.1,0.2198,48.8,53.3,21.3,16.7,33.5,33.2,31.9,35.9,48.4,53.1,32.9,35.7,64.8,-12.9,1,2023
"2136",36,31,106.1,90.2,0.8672,52.4,45.5,20.7,22.1,35.6,31.1,37.2,34.9,51.1,43.8,37.2,33,69.3,4.5,1,2013
"497",30,7,100.5,109.9,0.2635,45.3,51.8,17.7,13.5,29.6,28,42.2,31.9,43.7,51.4,32.5,34.8,68.1,-15.3,0,2016
"1497",32,12,100,103.3,0.4081,46.4,50,18.7,20.2,32.3,31.1,36.5,43.4,45.7,50.7,32.2,32.6,64.5,-12.6,0,2014
"1948",28,8,101.4,112.1,0.2403,50.8,53.3,17.9,15.7,24.2,31.9,37.4,26,48.2,51.3,37.1,38,67.8,-14.1,0,2013
"3012",30,14,102.1,105.4,0.4105,51,52.3,16.5,16.5,20.3,24.8,26.9,22.6,52.1,51.6,32.9,35.6,65.2,-10.8,1,2022
"2007",31,11,99.3,104,0.3703,46.5,52.8,21.5,21.3,32.1,34.3,38.1,41.1,47.9,51.1,28.8,37.5,68.2,-9.4,0,2013
"3363",30,15,103.1,104.8,0.4533,49.5,52.5,19.2,18.3,32.2,29.1,32.1,36.4,50.9,52.3,31.2,35.3,72.2,-9.4,1,2023
"2611",18,9,102.1,96.3,0.6631,47.6,47.3,19.5,19.6,31,30.1,31.6,35.5,49.3,50.3,29.9,28.4,68.9,-4.1,1,2021
"2881",30,25,104.6,92.3,0.8082,51.4,46.3,18.7,19.5,31.7,25.1,37.7,32.8,49.7,47.6,35.8,28.8,59.2,0.7,1,2022
"4008",32,21,115.5,111.4,0.6045,58.2,51.4,15.6,11.1,26.2,29,32.6,27.1,56.5,51.3,39.8,34.3,65.3,-6.4,1,2025
"2082",36,26,114.6,98.9,0.8448,53.2,50.4,16.9,18,30.3,27.7,34.4,28.2,53.7,49.7,35.2,34.3,65.1,3.6,1,2019
"1138",30,15,97.1,104,0.3128,49.1,51.8,19.5,19.9,28.4,27.6,32.3,40.3,48.2,50.2,33.8,36.2,64.7,-12,0,2017
"1874",33,20,108.3,96.7,0.7856,47.9,46.2,20.1,17.4,36.5,28.8,42.2,34.4,48.2,45.6,31.6,31.9,63.5,-0.9,0,2013
"335",30,15,111.5,100.4,0.7688,51.8,50.8,20.7,17,31.3,26,38.3,28.3,50.1,49.9,36.6,34.8,71.4,-3.5,0,2018
"1754",31,16,104.9,99.9,0.6368,52.7,46.2,16.9,16.6,18.1,31.6,45.6,32.8,53,45.6,34.9,31.6,61.1,-5.7,0,2014
"2774",20,16,105.3,104.2,0.5298,51.3,48.8,16.8,19.7,30.9,32.5,32.6,34.6,51,47.2,34.5,34.1,70.8,-3.3,1,2021
"3956",32,21,107.7,97.4,0.7608,49.4,47.2,16.7,19.7,26.8,31.5,36.1,31.5,52.9,48.2,28.5,30.7,67.4,0.6,1,2025
"2870",31,23,96.4,102.8,0.3223,47.2,49,19.7,22.6,34,28.8,38,42.3,46.9,50.3,31.8,31.5,69.2,-7.6,1,2022
"2571",19,6,91.1,109.5,0.1083,44.4,55.4,20.2,21.9,29.3,30.5,34,50.1,44,57.7,30.1,34.6,69.6,-9.5,1,2021
"2308",35,26,125.9,98.6,0.9432,53.8,49.3,14.6,18.5,35.2,31.3,38.8,40.8,50.3,50.3,39.5,30.7,66.7,6.5,1,2014
"3142",32,10,93.2,109.9,0.1302,49.6,53.3,20.2,17.4,25,29,25.6,28.9,49.6,53.9,33.1,34.7,65,-18.1,1,2022
"1718",33,21,102.1,95.5,0.6831,51.4,42.3,19.4,14.9,32,29.5,36.3,39.3,50.7,39.2,35.5,33.2,64.8,-4.3,0,2014
"2044",34,25,117.6,91.5,0.9469,51.4,45.7,16,19.6,36.7,28.5,34,38.8,50.5,44.8,35.5,31.6,69.4,6.9,1,2017
"1056",35,23,111.4,97.9,0.8156,54.5,48.3,17.5,17.5,24.1,28.6,34.4,28.8,53.6,47,37,33.6,67.1,-1.5,0,2018
"2852",37,24,106.9,99.1,0.7071,51.1,50.5,14.3,18.8,22.4,27.5,31,23.4,52.3,49.9,33,34.3,66.7,-1.6,1,2022
"1739",31,15,103.6,97.9,0.6572,49.1,45.7,20.6,16.5,29.9,34.6,41.2,35.3,49.8,45.8,31.9,30.4,63.9,-4.6,0,2014
"117",38,25,111.2,96,0.8446,49.9,47.6,15.9,17.3,29.5,29.3,35.5,28.5,47.4,47.1,35.8,32.4,62.9,0.7,0,2015
"1088",31,18,100.9,102.9,0.4427,51.2,50.5,20.2,20.7,28.1,28.5,33.4,37.2,50,47.5,35.3,36.5,71.1,-8.9,0,2017
"3931",34,21,116.6,100.3,0.8495,56,49.5,16.7,16.6,32.7,26.7,28.4,31.3,54.9,51.2,38.2,31.3,69.2,-3.3,1,2025
"1720",28,19,110.3,103.7,0.6694,53.1,47,17.6,16,31.1,31.5,41.9,39.3,50.5,43.5,38.7,35.2,63.7,-2.8,0,2014
"2277",33,24,108.8,101.5,0.6894,53.9,47.1,16.7,20.6,25.6,33.4,30.9,38.6,50.9,44,38.7,33.8,67.7,-5.1,1,2018
"2241",35,22,109.3,106,0.5879,53.4,50,16.5,18,27,32.1,31,33.4,49.3,47.7,39.7,36.1,71.7,-5.8,1,2017
"1030",33,18,102.6,97,0.6558,48.9,46.8,16.6,14.3,26,25.1,30.3,38.8,47,45.6,35.9,33.4,66.1,-3.4,0,2015
"1542",28,13,100.8,106.6,0.3441,48.5,49.4,20.4,18.2,33.2,33.7,42.9,37.5,49.1,49,31.3,33.5,66.7,-8.8,0,2014
"1711",29,4,96,117.8,0.087,47.7,51.6,19.2,14.8,27,34.6,34.4,36.4,45.1,51.1,35.7,35.1,65.6,-20.1,0,2014
"2891",31,15,106.4,99.8,0.6759,48.8,48.8,17.4,16.8,31.7,28.5,33.4,26,49.4,47.8,31.7,33.7,68.8,-4.7,1,2022
"318",32,12,109.1,100.6,0.7177,50.1,50.3,18,17.6,26.4,29.4,30.6,31.5,46,48.3,37.2,35.4,67.5,-4.1,0,2019
"2531",24,2,80,120.8,0.0087,43.6,55,24.2,14.9,18.1,35.8,24.7,32.6,38.3,55.7,32.9,35.8,72.3,-17.5,1,2021
"1342",31,26,108.3,98.6,0.7458,52.1,48.4,15.7,19.9,29.4,27.1,35.7,29.7,51.9,47.1,35,33.7,71.7,-1.8,0,2018
"2742",25,14,104.3,106.9,0.4316,50.4,54.8,21.2,22.3,35.7,29.6,29.4,32.9,50.6,54.5,33.3,36.9,66.9,-10.4,1,2021
"3153",28,2,93.2,115.3,0.0801,44.5,56.7,18.1,20.7,23.4,33.9,31.4,36.5,43.8,55.1,30.5,40,70.8,-21.3,1,2022
"3680",30,14,109.1,107.2,0.5485,54.1,51.1,15.1,17.3,20.5,32.7,45.5,32.7,54.5,50.2,35.5,34.9,72.8,-9.4,1,2024
"3102",30,9,92.4,103.5,0.2131,47.2,50.6,19.9,19.7,24.3,29.4,33,40.7,47,51.8,31.7,32.3,67,-14.7,1,2022
"3868",27,6,91.9,110.5,0.107,47.5,51.8,21.4,16.3,26.3,31.7,28,39.2,46,51.1,34.1,35.3,68.1,-16.8,1,2024
"2966",34,25,102.6,100.8,0.5504,50.6,50,15.4,20.4,27.1,26,31.5,28,50.8,51.9,33.7,31.2,67.4,-3.5,1,2022
"2755",23,15,100.2,106.5,0.3311,51.2,51.5,17.4,18.4,23.2,28.4,36.5,22.7,51.2,53.4,34.1,32.8,66.5,-8.9,1,2021
"2061",35,30,118.9,94.3,0.9347,56.9,42.7,19.2,14.6,37,26.6,35.9,30.7,55.2,38.4,40.1,33.7,68,8,1,2018
"158",32,23,104.7,102.1,0.5703,50.7,48.7,18.4,18.7,34.8,25.6,43.3,27.2,51.8,50.2,32.3,30.9,67.3,-4,0,2016
"464",30,17,97.1,103.1,0.3326,49.1,49.7,20.7,19.6,30.3,27.5,39.9,42.1,50.6,48.8,30.8,34.3,70,-11,0,2017
"3867",29,8,95.2,114.5,0.1071,48.2,51.8,21.7,15.1,30,30,37.1,40.7,48.3,50.2,32,36.7,69.9,-19.3,1,2024
"1484",29,11,92.3,107.1,0.1531,47,54,22.3,23.9,29.2,33.4,41.1,50.7,44.7,53.3,34.1,36.8,66.7,-12,0,2014
"273",34,18,103.9,93.9,0.7617,48,45.3,18.2,17.8,29.7,31,34.7,41.5,46.8,43.6,33.4,32.6,65.9,-3.6,0,2015
"2692",22,12,108.3,108.8,0.4865,55.1,54.2,16.8,18.5,27.2,29.1,25.3,22.4,52.2,53.4,39.1,36.8,67.4,-6.8,1,2021
"364",29,12,96.8,108.1,0.2178,49.3,50.1,16.7,17.6,26.3,31.2,34.9,37.9,49.2,50.9,33.1,32.5,69.3,-12.9,0,2016
"3003",32,11,98.9,101.1,0.4379,46.7,52,21.2,16.5,30.5,26.1,39.4,29.4,46.5,49.5,31.4,36.8,64,-8.9,1,2022
"3851",30,9,95.4,111.2,0.1462,46.7,51.6,17.9,15,27.9,31.9,29.4,29.9,46.9,52.1,30.9,33.9,69.7,-20,1,2024
"3314",30,12,96.1,114.5,0.118,46.6,52.7,18.3,19.3,26.9,34.7,32.1,35.2,43.1,52.1,35.8,35.8,68.7,-15.8,1,2023
"2578",23,6,99.8,111.9,0.2112,48.3,53.3,18.3,17.2,26.2,26.7,29,36,46.2,53.6,35.3,35.3,67.9,-14.1,1,2021
"2259",32,21,108.7,106.8,0.5497,56.5,51.3,20.3,18.5,28.9,29.6,32.2,28.2,56.4,51.2,37.7,34.3,67.6,-4.7,1,2015
"3742",32,16,101.3,105.4,0.3885,50,52.8,16.4,16.9,21.6,25.5,29,27.9,49.8,52,33.7,35.9,68.6,-9,1,2024
"3474",33,20,100.7,100,0.5201,51.9,47.9,20.2,16.9,27.9,24.8,37.1,33,51.5,49.4,35,30.1,66.3,-6,1,2023
"808",30,10,93.9,113.5,0.1015,47.8,52.3,19.6,20.3,28.5,37.2,30.1,39.1,44.7,52.6,35.1,34.7,67.3,-17.4,0,2017
"2906",33,17,109.4,98.3,0.7753,52.4,49.7,16.4,16.9,25.8,24.1,29.8,29.1,51.2,49.4,36.3,33.4,66.4,-3.7,1,2022
"1452",30,9,101.6,113.1,0.226,49.4,56.8,18,15.7,26.1,29.2,29.5,28.9,46.9,53.1,37.5,42,70.2,-14,0,2017
"889",28,0,86.2,107.1,0.0757,41,54,21.6,17.8,24.1,31.8,29.1,42.9,38.7,51.8,29.4,38.8,64.6,-21.4,0,2015
"3449",31,19,106.4,99,0.6963,49.2,52.4,17.5,24.7,27.9,31,35.5,31,47.9,50.9,34.1,36.1,69.4,-3.4,1,2023
"845",30,14,100.5,100.4,0.503,49.4,48.6,20.9,20.8,26.4,31.7,42.3,37.6,46.6,44.7,35.7,38.6,67.3,-8.2,0,2015
"3205",34,21,103.4,91.8,0.7985,46.7,46.2,19.4,21.7,35.5,28.6,33.8,27.6,50.4,45.8,26.6,31.1,63.6,0.4,1,2023
"1335",32,22,102.8,102.9,0.4986,49.6,50.8,16.2,18.5,27.5,27.3,42.7,31.9,48.8,47.7,34.2,37.5,72.1,-5.7,0,2017
"1835",33,17,96.2,98.7,0.4283,46,46.7,19.5,19.5,28.2,30.3,35.4,34.9,43.5,44.7,33.5,33.7,64.6,-8.9,0,2013
"34",37,33,123.4,89.9,0.9744,59,44.2,14.9,19,31.5,26.8,35.3,25.9,61.4,43.4,36.3,30.4,72,7,1,2019
"410",27,6,97.8,110.5,0.1959,50,54,17.9,16.1,24.7,26.9,27.4,37.7,49.4,52.6,33.8,37.4,69.2,-15.5,0,2016
"3228",34,19,99.4,107.8,0.2823,50.1,51.3,17.3,19,25,28.3,38.2,44.1,50.3,50.7,33.2,35,72,-11.7,1,2023
"1446",29,8,92.8,101,0.2743,45.2,50,20.6,17.4,26,28.8,33.9,42.1,46.1,48.1,29.2,36.2,67,-13.5,0,2016
"3054",30,14,101.2,108.1,0.3207,51.3,52.4,19.5,17.1,26.8,28.3,38.1,32.8,49.8,50.8,35.7,36.3,70,-12.2,1,2022
"99",32,17,101.3,99.3,0.5572,47.1,49.3,19.5,18.3,33.8,27,45.8,35.1,46.6,47.7,32,34.8,65.3,-7.9,0,2018
"1766",31,13,99.6,96.5,0.5916,48.5,50.8,20.7,20.5,27.7,30.8,43.7,35.5,47.1,49.5,34.5,35.9,69.2,-7.5,0,2013
"2887",36,19,106.7,94.7,0.7985,50.2,48.5,18.9,20.7,27.5,27.7,38.7,34.9,49.5,50.7,34,30.1,67.4,-3.1,1,2022
"192",32,13,100.9,102.3,0.4593,46.5,49.1,20.5,19.9,33.6,33.7,31.5,33.2,45.2,48.4,32,33.7,64.6,-11.6,0,2015
"2978",32,19,103.3,102.8,0.5142,50.2,50.1,18.3,17.4,23.9,27.7,33.5,26.2,48.4,48.5,35.4,35,68.7,-6.6,1,2022
"3999",34,14,108.8,104.2,0.623,52.5,51.6,18.1,15.5,26.9,28.7,27.8,28.6,53.3,51.3,34.4,34.7,67.6,-7.4,1,2025
"880",31,16,101.7,102.5,0.4781,51.2,53.5,18.2,21.8,25.4,25.3,36.9,35,51.4,49.4,33.9,40.3,67.4,-9.9,0,2019
"453",29,12,96.1,100.2,0.3824,46.7,49,20.2,18.7,30.7,28.7,33.7,42.5,45.1,44.6,33,39.7,65.7,-10.1,0,2015
"853",31,14,97.3,99.3,0.4422,44.7,47.2,18.6,17.8,27.3,25.8,41.5,43.9,44.7,46.5,29.9,32.4,71.2,-8.9,0,2016
"446",27,18,104.8,107,0.4404,54.2,51.3,20.2,15.4,28.7,25.5,30.4,30.3,53.3,51.6,36.7,33.8,74.3,-6.5,0,2019
"3610",33,19,107.8,95.7,0.7978,50,46.5,21.3,15.9,32.5,30.5,38.9,32.6,51.5,46.7,32,30.7,67.2,0.36,1,2024
"2282",32,27,103.4,95.2,0.7207,51.7,47.5,19.8,21.4,33.7,23.9,26,39.2,51.1,47.3,35,31.9,66.2,-1.6,1,2018
"3035",29,14,98.8,103.8,0.3618,48.9,49.5,19.5,17.7,27.4,30.2,33.9,35.3,49.4,52.1,32,30.1,66.4,-12.5,1,2022
"2559",23,5,97.3,113.7,0.1421,49.3,53.9,23.9,15.4,28.9,28.5,32.4,28.8,46.8,51.7,36,38.2,71.4,-13.3,1,2021
"2945",32,11,109.2,104.5,0.625,47.9,53.4,14.5,18.3,30.3,31,29.1,29.4,45.9,53,34,36.1,67.1,-9,1,2022
"1704",29,6,102.7,117.9,0.1694,48.1,58.8,16.2,19.5,30,32.7,35.1,49.7,45.8,59.4,34.9,38.2,69.6,-17.5,0,2014
"1315",31,10,92.4,101.2,0.258,46.5,51.3,23.6,20.9,31.1,28.3,32.8,41.8,47.3,48.5,29.6,38.3,64.1,-14.5,0,2015
"3957",32,17,113.9,103.1,0.7599,52.2,51.1,14.8,18.3,29,29.9,34.2,32.8,52.4,50.4,34.6,34.7,66.7,-3.8,1,2025
"2124",35,24,112.4,96.7,0.8507,47.4,46.5,17.5,16.3,39.6,30.2,43.4,41,46.9,42.9,32.7,35.2,68.7,3.6,1,2014
"693",30,9,91.5,102.3,0.2167,42.8,46.5,21.7,17.4,38.4,29.3,28,40.1,38.3,46.5,34.1,31,69.6,-16.7,0,2016
"419",34,19,99.9,109.2,0.2656,51.4,50.7,18.7,17.3,24.2,28.9,36.6,38.7,50.2,49.9,35.6,34.7,67,-12.9,0,2017
"1541",29,9,100.8,113,0.2119,47.7,51.2,17.6,18.4,30.3,38.1,35.7,47.8,45,49,35,37,66.6,-14,0,2014
"4059",33,14,106.5,107.8,0.4663,51.6,52.6,18.3,15.2,30.3,28,34.2,33.7,51,51.5,35.1,36.1,68.1,-12.5,1,2025
"3204",36,23,108.4,95,0.8207,48.4,46.5,16.8,20.1,29.2,31.5,31.2,33.5,48.5,43.6,32.2,34.1,68.1,1.2,1,2023
"3125",32,9,100.7,116.1,0.1629,52.8,53.8,19.3,13.7,21.8,30,28.3,22.9,50.6,52.3,37.6,37.4,67.8,-18.4,1,2022
"2646",18,10,97.3,100,0.4223,48.3,49.6,17.5,17.9,24.6,22.7,23.2,39.5,47.3,50.4,33.1,32.4,66.2,-6.4,1,2021
