"","G","W","ADJOE","ADJDE","BARTHAG","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","2P_O","2P_D","3P_O","3P_D","ADJ_T","WAB","POSTSEASON","YEAR"
"2711",23,13,106.3,106.6,0.4906,50.8,51.1,17.5,17.4,29.3,28.9,33.2,25.8,51.7,51.4,33,33.8,68.4,-5.8,1,2021
"3234",30,5,98.5,109.3,0.2321,47.9,53.6,19.1,17,24.9,33,26.7,27.8,48.6,57.9,31.3,31.3,68,-15.8,1,2023
"2186",34,23,108.2,88.6,0.9089,51.1,45.2,14.6,17.2,24.5,26.5,27.3,25.8,49.7,44.1,35.9,31.5,65,6.3,1,2019
"101",33,24,107.3,99.8,0.6974,53.1,48.3,16.7,16.7,23.3,24.8,28.3,30,52.8,47.3,35.6,33,66.1,-0.9,0,2019
"1562",29,18,109.9,107.5,0.5635,51.3,51,16.8,19.2,37.3,31.6,42.4,40.4,51.9,50.8,33.2,34.2,69,-6.3,0,2014
"1869",35,19,95.3,94.6,0.521,47.7,44.4,21.5,21.6,33.5,32.2,28.9,45.6,47.8,43.2,31.6,32,61.9,-8.4,0,2013
"390",28,11,102.7,116.6,0.189,52,56.1,17.6,15,25.8,29.8,28.8,30.6,50.4,54.2,36.2,39.6,68.3,-14.3,0,2019
"1324",30,16,108.1,107.8,0.5084,51.9,53.1,16.6,20.3,28.1,31.6,42.6,38.5,52.6,52.7,33.6,35.9,77.2,-7.6,0,2016
"3633",32,15,109.9,101.1,0.7241,52.7,51,17.2,16.6,28.7,28.5,24.6,22.3,51.6,52,36.1,33.3,68.7,-5.3,1,2024
"3042",30,18,104,109.9,0.3451,50.3,52.6,15.5,17.4,27.4,29.7,27.7,23.8,49.9,54.1,34,33.6,68.2,-8,1,2022
"361",28,3,92.6,112.9,0.0926,45.2,56.2,18.1,17.5,22.3,29.6,36.1,34.3,42.3,53.9,33.4,39.9,71.2,-18.8,0,2016
"2190",34,20,110.3,90.7,0.9048,49.1,42.1,20.1,14,37.9,28.6,36.6,34.8,48.3,37.7,33.8,34.7,62.8,0.9,1,2015
"544",30,18,101.6,102,0.4873,49.6,48.6,18.9,18.9,30.4,29.2,38.7,34.1,47.2,48.1,35.6,33.1,66.8,-5.5,0,2015
"852",31,17,103.3,98,0.646,47.7,48.4,18.5,20.5,30,28.2,30.9,38.4,46.2,48.7,33.3,31.9,68.3,-5.5,0,2016
"55",40,30,113,87,0.9533,49,42.6,18.9,23.6,38.8,34.5,36.8,35.4,48.5,42.6,33.4,28.4,65.4,5.1,1,2013
"2525",18,1,86.5,112.2,0.048,44.8,55.6,23.8,22.7,26.1,33.9,27.9,35.7,43,56.4,31.9,36.1,72.7,-14.7,1,2021
"1848",34,18,105.4,100.4,0.6341,49.9,49.7,22,20.6,30.9,36.6,40.4,34.8,48.9,47.1,34.8,36.8,66,-3,0,2013
"2137",32,21,106,89.5,0.8752,48.5,44.7,18.1,18.2,31.8,27.9,35.3,28.9,48.3,43.3,32.7,31.8,66.8,0.4,1,2013
